                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0439,                0.96408,                 1.1075,                0.84992,                0.73672,                0.79843,                0.56064,                 1.0037,                 0.8622,                 1.0653,               0.007195,               0.007195,               0.007195
                     36,                 1.0396,                0.95479,                 1.1046,                0.85621,                0.73354,                0.80263,                0.56277,                 1.0005,                0.85406,                 1.0641,              0.0071125,              0.0071125,              0.0071125
                     37,                 1.0331,                0.95222,                 1.1024,                0.85203,                0.73996,                0.80347,                0.56865,                0.99324,                  0.845,                 1.0583,                0.00703,                0.00703,                0.00703
                     38,                 1.0289,                0.93604,                 1.0994,                0.85413,                0.74065,                0.80566,                0.57075,                 0.9908,                0.83918,                 1.0569,              0.0069475,              0.0069475,              0.0069475
                     39,                 1.0203,                 0.9272,                 1.0925,                0.85548,                0.74405,                0.80745,                0.57372,                0.98832,                0.83195,                 1.0565,               0.006865,               0.006865,               0.006865
                     40,                  1.018,                0.91735,                 1.0915,                0.84948,                0.74343,                 0.8091,                0.57562,                0.98634,                0.82688,                 1.0539,              0.0067825,              0.0067825,              0.0067825
                     41,                 1.0108,                0.90886,                 1.0857,                0.84817,                0.74859,                 0.8101,                 0.5765,                0.98397,                0.82111,                 1.0536,                 0.0067,                 0.0067,                 0.0067
                     42,                 1.0103,                0.90704,                 1.0876,                0.85684,                0.75001,                0.81413,                0.57952,                0.98249,                0.81682,                 1.0516,              0.0066175,              0.0066175,              0.0066175
                     43,                 1.0013,                0.89692,                 1.0823,                0.86437,                0.74821,                0.81491,                0.58033,                0.98131,                0.81421,                 1.0508,               0.006535,               0.006535,               0.006535
                     44,                 1.0016,                0.89015,                 1.0784,                0.85546,                0.75644,                0.81592,                0.57985,                0.97899,                0.81155,                 1.0489,              0.0064525,              0.0064525,              0.0064525
                     45,                0.99491,                0.88136,                 1.0757,                0.85758,                0.75546,                0.81723,                0.58082,                0.97725,                0.80627,                 1.0466,                0.00637,                0.00637,                0.00637
                     46,                0.99214,                0.86669,                 1.0725,                0.85761,                0.75761,                0.81645,                0.58307,                0.97515,                0.80307,                 1.0456,              0.0062875,              0.0062875,              0.0062875
                     47,                0.98483,                0.86243,                 1.0681,                0.85829,                0.75951,                0.81813,                0.58384,                0.97261,                0.79874,                 1.0445,               0.006205,               0.006205,               0.006205
                     48,                0.98505,                0.85533,                 1.0669,                0.85739,                0.76093,                0.82054,                0.58513,                0.97107,                0.79531,                 1.0435,              0.0061225,              0.0061225,              0.0061225
